S.no,Area of exposure (AE) sq. m ,Depth of cover (DOC) m,RMR,Gallery Width,Inter-sectional Span (IS) m,Roof Fall Rate
684,6500,397,64,6.1,7.2,3000
685,6250,397,64,6.1,7.2,3200
686,2650,370,64,6.13,7.1,1200
687,3800,385,64,6,7.2,1550
688,5350,396,64,6.2,7.1,3000
689,5100,380,64,6,7.1,4000
690,1600,385,64,6.2,7.2,1600
691,1700,397,64,6.3,7.2,1000
692,1350,376,64,6.2,7.1,1350
693,3250,380,64,6,7.1,1750
694,2250,370,64,6.1,7.2,1850
695,1300,396,64,6.3,7.2,500
696,5250,380,64,6.2,7.1,3500
697,2300,370,64,6.3,7.1,1450
698,3400,385,64,6,7.1,2000
699,3750,376,64,6.3,7.2,1550
700,3100,380,64,6.2,7.1,1400
701,3150,396,64,6,7.2,1500
702,3150,396,64,6,7.2,1500
703,2600,380,64,6,7.1,1460
704,3100,380,64,6,7.1,1600
705,2750,376,64,6.13,7.2,1600
706,3500,376,64,6.1,7.2,2250
707,3750,397,64,6.1,7.2,3000
708,3200,396,64,6.2,7.2,2500
709,1500,385,64,6.2,7.2,500
710,1600,376,64,6.3,7.2,1600
711,3500,385,64,6.3,7.2,2200
712,3250,376,64,6.3,7.1,2000
713,2500,376,64,6.3,7.1,2500
714,2000,370,64,6.1,7.1,1500
715,2500,376,64,6.1,7.1,1750
716,1900,396,64,6.2,7.1,1200
717,2000,397,64,6.2,7.1,1500
718,1500,397,64,6,7.1,1000
719,3250,396,64,6.2,7.1,3000
720,2250,379,64,6.2,7.1,2000
721,1250,376,64,6.2,7.1,1250
722,2200,379,64,6,7.1,1600
723,1100,380,64,6.2,7.1,600
724,1950,380,64,6,7.1,1500
725,3200,385,64,6.2,7.2,2500
726,2100,370,64,6.1,7.1,1600
727,3150,396,64,6,7.2,1500
728,1800,397,64,6.3,7.1,1800
729,2500,370,64,6.1,7.2,1750
730,3500,385,64,6.3,7.2,2250
731,3500,376,64,6.1,7.2,2200
732,1900,397,64,6.3,7.1,600
733,2500,370,64,6.2,7.1,2500
734,3800,385,64,6.3,7.2,1600
735,2100,396,64,6,7.1,1500
736,2400,370,64,6.3,7.1,2000
737,3950,396,64,6.1,7.2,3000
738,2700,380,64,6.2,7.1,2500
739,1500,376,64,6.2,7.1,500
740,2150,397,64,6.2,7.1,1500
741,3150,396,64,6.3,7.1,2150
742,2600,376,64,6.1,7.1,2000
743,5350,379,64,6,7.1,4000
744,2750,376,64,6.13,7.2,1600
745,3850,385,64,6.2,7.2,1500
746,3550,376,64,6.1,7.2,2000
747,5150,380,64,6.2,7.1,4500
748,5250,379,64,6,7.1,4000
749,1550,397,64,6.2,7.1,1000
750,2950,376,64,6.3,7.2,1500
751,1350,385,64,6.2,7.1,500
752,3300,380,64,6,7.2,2000
753,2000,370,64,6.2,7.1,1000
754,3000,380,64,6,7.2,1500
755,3000,385,64,6.3,7.2,2000
756,5000,379,64,6,7.1,3300
757,6000,397,64,6.1,7.2,3000
758,5450,380,64,6.2,7.1,4200
759,5200,396,64,6,7.1,3500
760,3450,385,64,6.1,7.1,1450
761,3550,376,64,6.1,7.2,1600
762,2350,397,64,6.3,7.1,1700
763,3350,380,64,6.2,7.1,2000
764,3050,380,64,6,7.1,1000
765,2050,370,64,6.2,7.2,2050
766,5050,396,64,6.2,7.1,4500
767,6050,397,64,6.1,7.2,3500
768,1400,385,64,6.3,7.2,1400
769,2600,376,64,6.3,7.1,2600
770,5600,379,64,6,7.1,3500
771,5450,380,64,6.2,7.1,4000
772,5300,379,64,6,7.1,4500
773,2300,370,64,6.2,7.1,1500
774,3300,396,64,6,7.2,1750
775,5000,379,64,6.2,7.1,2500
776,3500,385,64,6.1,7.2,2000
777,2600,370,64,6.3,7.1,2600
778,2700,376,64,6.3,7.1,1600
779,2850,397,64,6.13,7.2,1800
780,3750,376,64,6.3,7.2,2000
781,3600,396,64,6,7.1,2500
782,1900,397,64,6.3,7.1,1000
783,1250,376,64,6.2,7.1,500
784,3100,380,64,6.3,7.2,1300
785,6500,397,64,6.1,7.2,3000
786,6250,397,64,6.1,7.2,3200
787,2650,370,64,6.13,7.1,1200
788,3800,385,64,6,7.2,1550
789,5350,396,64,6.2,7.1,3000
790,5100,380,64,6,7.1,4000
791,1600,385,64,6.2,7.2,1600
792,1700,397,64,6.3,7.2,1000
793,1350,376,64,6.2,7.1,1350
794,3250,380,64,6,7.1,1750
795,2250,370,64,6.1,7.2,1850
796,1300,396,64,6.3,7.2,500
797,5250,380,64,6.2,7.1,3500
798,2300,370,64,6.3,7.1,1450
799,3400,385,64,6,7.1,2000
800,3750,376,64,6.3,7.2,1550
801,3100,380,64,6.2,7.1,1400
802,3150,396,64,6,7.2,1500
