S.no,Area of exposure (AE) sq. m ,Depth of cover (DOC) m,RMR,Gallery Width,Inter-sectional Span (IS) m,Roof Fall Rate
164,5050,396,64,6.2,7.1,4500
165,6050,397,64,6.1,7.2,3500
166,1400,385,64,6.3,7.2,1400
167,2600,376,64,6.3,7.1,2600
168,5600,379,64,6,7.1,3500
169,5450,380,64,6.2,7.1,4000
170,5300,379,64,6,7.1,4500
171,2300,370,64,6.2,7.1,1500
172,3300,396,64,6,7.2,1750
173,5000,379,64,6.2,7.1,2500
174,3500,385,64,6.1,7.2,2000
175,2600,370,64,6.3,7.1,2600
176,2700,376,64,6.3,7.1,1600
177,2850,397,64,6.13,7.2,1800
178,3750,376,64,6.3,7.2,2000
179,3600,396,64,6,7.1,2500
180,1900,397,64,6.3,7.1,1000
181,1250,376,64,6.2,7.1,500
182,3100,380,64,6.3,7.2,1300
183,6500,397,64,6.1,7.2,3000
184,6250,397,64,6.1,7.2,3200
185,2650,370,64,6.13,7.1,1200
186,3800,385,64,6,7.2,1550
187,5350,396,64,6.2,7.1,3000
188,5100,380,64,6,7.1,4000
189,1600,385,64,6.2,7.2,1600
190,1700,397,64,6.3,7.2,1000
191,1350,376,64,6.2,7.1,1350
192,3250,380,64,6,7.1,1750
193,2250,370,64,6.1,7.2,1850
194,1300,396,64,6.3,7.2,500
195,5250,380,64,6.2,7.1,3500
196,2300,370,64,6.3,7.1,1450
197,3400,385,64,6,7.1,2000
198,3750,376,64,6.3,7.2,1550
199,3100,380,64,6.2,7.1,1400
200,3150,396,64,6,7.2,1500
201,2600,380,64,6,7.1,1460
202,3100,380,64,6,7.1,1600
203,2750,376,64,6.13,7.2,1600
204,3500,376,64,6.1,7.2,2250
205,3750,397,64,6.1,7.2,3000
206,3200,396,64,6.2,7.2,2500
207,1500,385,64,6.2,7.2,500
208,1600,376,64,6.3,7.2,1600
209,3500,385,64,6.3,7.2,2200
210,3250,376,64,6.3,7.1,2000
211,2500,376,64,6.3,7.1,2500
212,2000,370,64,6.1,7.1,1500
213,2500,376,64,6.1,7.1,1750
214,1900,396,64,6.2,7.1,1200
215,2000,397,64,6.2,7.1,1500
216,1500,397,64,6,7.1,1000
217,3250,396,64,6.2,7.1,3000
218,2250,379,64,6.2,7.1,2000
219,1250,376,64,6.2,7.1,1250
220,2200,379,64,6,7.1,1600
221,1100,380,64,6.2,7.1,600
222,1950,380,64,6,7.1,1500
223,3200,385,64,6.2,7.2,2500
224,2100,370,64,6.1,7.1,1600
225,3150,396,64,6,7.2,1500
226,1800,397,64,6.3,7.1,1800
227,2500,370,64,6.1,7.2,1750
228,3500,385,64,6.3,7.2,2250
229,3500,376,64,6.1,7.2,2200
230,1900,397,64,6.3,7.1,600
231,2500,370,64,6.2,7.1,2500
232,3800,385,64,6.3,7.2,1600
233,2100,396,64,6,7.1,1500
234,2400,370,64,6.3,7.1,2000
235,3950,396,64,6.1,7.2,3000
236,2700,380,64,6.2,7.1,2500
237,1500,376,64,6.2,7.1,500
238,2150,397,64,6.2,7.1,1500
239,3150,396,64,6.3,7.1,2150
